pc_time,count,rssi,len,mac,esp_time
3859,842.0,128,0EA06D7AA587,2026-04-27T09:44:57.682742,-80
3860,842.0,128,0EA06D7AA587,2026-04-27T09:44:57.723121,-81
3861,843.0,128,0EA06D7AA587,2026-04-27T09:44:58.408237,-80
3862,843.0,128,0EA06D7AA587,2026-04-27T09:44:58.499532,-79
3863,843.0,128,0EA06D7AA587,2026-04-27T09:44:58.760745,-81
3864,843.0,128,0EA06D7AA587,2026-04-27T09:44:58.856422,-79
3865,844.0,128,0EA06D7AA587,2026-04-27T09:44:59.425074,-80
3866,844.0,128,0EA06D7AA587,2026-04-27T09:44:59.529818,-80
3867,844.0,128,0EA06D7AA587,2026-04-27T09:44:59.792573,-80
3868,844.0,128,0EA06D7AA587,2026-04-27T09:44:59.909998,-80
3869,845.0,128,0EA06D7AA587,2026-04-27T09:45:00.837756,-80
3870,846.0,128,0EA06D7AA587,2026-04-27T09:45:01.200673,-80
3871,846.0,128,0EA06D7AA587,2026-04-27T09:45:01.580961,-80
3872,847.0,128,0EA06D7AA587,2026-04-27T09:45:02.465562,-80
3873,847.0,128,0EA06D7AA587,2026-04-27T09:45:02.708758,-80
3874,847.0,128,0EA06D7AA587,2026-04-27T09:45:02.755341,-80
3875,847.0,128,0EA06D7AA587,2026-04-27T09:45:02.932908,-80
3876,847.0,128,0EA06D7AA587,2026-04-27T09:45:02.970193,-80
3877,848.0,128,0EA06D7AA587,2026-04-27T09:45:03.728582,-80
3878,848.0,128,0EA06D7AA587,2026-04-27T09:45:03.968935,-80
3879,848.0,128,0EA06D7AA587,2026-04-27T09:45:04.000391,-80
3880,849.0,128,0EA06D7AA587,2026-04-27T09:45:04.345078,-79
3881,849.0,128,0EA06D7AA587,2026-04-27T09:45:04.752405,-80
3882,849.0,128,0EA06D7AA587,2026-04-27T09:45:04.848656,-80
3883,850.0,128,0EA06D7AA587,2026-04-27T09:45:05.057418,-80
3884,850.0,128,0EA06D7AA587,2026-04-27T09:45:05.145407,-80
3885,850.0,128,0EA06D7AA587,2026-04-27T09:45:05.236020,-80
3886,850.0,128,0EA06D7AA587,2026-04-27T09:45:05.810459,-80
3887,851.0,128,0EA06D7AA587,2026-04-27T09:45:06.288389,-79
3888,851.0,128,0EA06D7AA587,2026-04-27T09:45:06.383375,-80
3889,851.0,128,0EA06D7AA587,2026-04-27T09:45:06.660537,-80
3890,851.0,128,0EA06D7AA587,2026-04-27T09:45:06.937459,-79
3891,852.0,128,0EA06D7AA587,2026-04-27T09:45:07.120324,-80
3892,852.0,128,0EA06D7AA587,2026-04-27T09:45:07.148266,-81
3893,852.0,128,0EA06D7AA587,2026-04-27T09:45:07.837222,-81
3894,853.0,128,0EA06D7AA587,2026-04-27T09:45:08.169518,-81
3895,853.0,128,0EA06D7AA587,2026-04-27T09:45:08.756987,-80
3896,853.0,128,0EA06D7AA587,2026-04-27T09:45:08.841475,-79
3897,854.0,128,0EA06D7AA587,2026-04-27T09:45:09.345582,-80
3898,854.0,128,0EA06D7AA587,2026-04-27T09:45:09.393838,-80
3899,854.0,128,0EA06D7AA587,2026-04-27T09:45:09.568474,-80
3900,854.0,128,0EA06D7AA587,2026-04-27T09:45:09.872064,-81
3901,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.076500,-80
3902,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.260908,-80
3903,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.290894,-80
3904,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.485293,-79
3905,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.588372,-80
3906,855.0,128,0EA06D7AA587,2026-04-27T09:45:10.631068,-81
3907,856.0,128,0EA06D7AA587,2026-04-27T09:45:11.306686,-81
3908,856.0,128,0EA06D7AA587,2026-04-27T09:45:11.442344,-80
3909,856.0,128,0EA06D7AA587,2026-04-27T09:45:11.620791,-80
3910,857.0,128,0EA06D7AA587,2026-04-27T09:45:12.128186,-80
3911,857.0,128,0EA06D7AA587,2026-04-27T09:45:12.361488,-80
3912,857.0,128,0EA06D7AA587,2026-04-27T09:45:12.737479,-80
3913,857.0,128,0EA06D7AA587,2026-04-27T09:45:12.952378,-81
3914,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.042948,-80
3915,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.143208,-80
3916,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.247839,-81
3917,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.404907,-78
3918,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.431018,-81
3919,858.0,128,0EA06D7AA587,2026-04-27T09:45:13.677207,-81
3920,859.0,128,0EA06D7AA587,2026-04-27T09:45:14.172616,-80
3921,859.0,128,0EA06D7AA587,2026-04-27T09:45:14.272352,-80
3922,859.0,128,0EA06D7AA587,2026-04-27T09:45:14.453378,-81
3923,860.0,128,0EA06D7AA587,2026-04-27T09:45:15.048785,-79
3924,860.0,128,0EA06D7AA587,2026-04-27T09:45:15.297824,-80
3925,860.0,128,0EA06D7AA587,2026-04-27T09:45:15.508472,-79
3926,860.0,128,0EA06D7AA587,2026-04-27T09:45:15.536833,-81
3927,860.0,128,0EA06D7AA587,2026-04-27T09:45:15.828975,-79
3928,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.120308,-79
3929,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.151240,-80
3930,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.322421,-80
3931,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.552445,-81
3932,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.580468,-80
3933,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.729556,-80
3934,861.0,128,0EA06D7AA587,2026-04-27T09:45:16.829127,-80
3935,862.0,128,0EA06D7AA587,2026-04-27T09:45:17.144962,-81
3936,862.0,128,0EA06D7AA587,2026-04-27T09:45:17.345140,-80
3937,862.0,128,0EA06D7AA587,2026-04-27T09:45:17.736657,-81
3938,863.0,128,0EA06D7AA587,2026-04-27T09:45:18.476072,-80
3939,863.0,128,0EA06D7AA587,2026-04-27T09:45:18.985002,-80
3940,864.0,128,0EA06D7AA587,2026-04-27T09:45:19.244273,-80
3941,864.0,128,0EA06D7AA587,2026-04-27T09:45:19.529303,-80
3942,864.0,128,0EA06D7AA587,2026-04-27T09:45:19.708373,-79
3943,864.0,128,0EA06D7AA587,2026-04-27T09:45:20.008712,-80
3944,865.0,128,0EA06D7AA587,2026-04-27T09:45:20.881017,-81
3945,865.0,128,0EA06D7AA587,2026-04-27T09:45:21.037066,-80
3946,866.0,128,0EA06D7AA587,2026-04-27T09:45:21.330624,-81
3947,866.0,128,0EA06D7AA587,2026-04-27T09:45:21.793422,-80
3948,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.057239,-80
3949,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.152738,-80
3950,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.389377,-79
3951,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.458570,-80
3952,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.689028,-80
3953,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.872690,-79
3954,867.0,128,0EA06D7AA587,2026-04-27T09:45:22.901503,-79
3955,868.0,128,0EA06D7AA587,2026-04-27T09:45:23.812935,-80
3956,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.105095,-80
3957,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.312844,-80
3958,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.616449,-80
3959,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.714189,-80
3960,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.948454,-80
3961,869.0,128,0EA06D7AA587,2026-04-27T09:45:24.978735,-80
3962,870.0,128,0EA06D7AA587,2026-04-27T09:45:25.537401,-80
3963,870.0,128,0EA06D7AA587,2026-04-27T09:45:25.636711,-80
3964,870.0,128,0EA06D7AA587,2026-04-27T09:45:25.740622,-79
3965,870.0,128,0EA06D7AA587,2026-04-27T09:45:25.844646,-80
3966,871.0,128,0EA06D7AA587,2026-04-27T09:45:26.124473,-80
3967,871.0,128,0EA06D7AA587,2026-04-27T09:45:26.155244,-79
3968,871.0,128,0EA06D7AA587,2026-04-27T09:45:26.360979,-79
3969,871.0,128,0EA06D7AA587,2026-04-27T09:45:26.664531,-80
3970,871.0,128,0EA06D7AA587,2026-04-27T09:45:27.037084,-80
3971,872.0,128,0EA06D7AA587,2026-04-27T09:45:27.065772,-80
3972,872.0,128,0EA06D7AA587,2026-04-27T09:45:27.288882,-80
3973,872.0,128,0EA06D7AA587,2026-04-27T09:45:27.392344,-80
3974,872.0,128,0EA06D7AA587,2026-04-27T09:45:27.893373,-80
3975,873.0,128,0EA06D7AA587,2026-04-27T09:45:28.092116,-79
3976,873.0,128,0EA06D7AA587,2026-04-27T09:45:28.304514,-80
3977,873.0,128,0EA06D7AA587,2026-04-27T09:45:28.813510,-80
3978,873.0,128,0EA06D7AA587,2026-04-27T09:45:28.972834,-80
3979,874.0,128,0EA06D7AA587,2026-04-27T09:45:29.181356,-80
3980,874.0,128,0EA06D7AA587,2026-04-27T09:45:29.322383,-80
3981,874.0,128,0EA06D7AA587,2026-04-27T09:45:29.427848,-80
3982,874.0,128,0EA06D7AA587,2026-04-27T09:45:29.740523,-80
3983,874.0,128,0EA06D7AA587,2026-04-27T09:45:29.941354,-80
