pc_time,count,rssi,len,mac,esp_time
1852,398.0,128,0EA06D7AA587,2026-04-27T09:37:33.676788,-82
1853,398.0,128,0EA06D7AA587,2026-04-27T09:37:33.985521,-82
1854,399.0,128,0EA06D7AA587,2026-04-27T09:37:34.126444,-82
1855,399.0,128,0EA06D7AA587,2026-04-27T09:37:34.304311,-81
1856,399.0,128,0EA06D7AA587,2026-04-27T09:37:34.496308,-82
1857,400.0,128,0EA06D7AA587,2026-04-27T09:37:35.221078,-82
1858,400.0,128,0EA06D7AA587,2026-04-27T09:37:35.428801,-81
1859,400.0,128,0EA06D7AA587,2026-04-27T09:37:35.544883,-82
1860,400.0,128,0EA06D7AA587,2026-04-27T09:37:35.772935,-82
1861,400.0,128,0EA06D7AA587,2026-04-27T09:37:36.036389,-82
1862,401.0,128,0EA06D7AA587,2026-04-27T09:37:36.221940,-82
1863,401.0,128,0EA06D7AA587,2026-04-27T09:37:36.259140,-82
1864,401.0,128,0EA06D7AA587,2026-04-27T09:37:36.440640,-82
1865,401.0,128,0EA06D7AA587,2026-04-27T09:37:36.821071,-82
1866,401.0,128,0EA06D7AA587,2026-04-27T09:37:36.947181,-81
1867,402.0,128,0EA06D7AA587,2026-04-27T09:37:37.324471,-82
1868,402.0,128,0EA06D7AA587,2026-04-27T09:37:37.461432,-82
1869,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.084923,-82
1870,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.183855,-82
1871,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.321166,-81
1872,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.350740,-81
1873,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.458202,-82
1874,403.0,128,0EA06D7AA587,2026-04-27T09:37:38.590734,-81
1875,404.0,128,0EA06D7AA587,2026-04-27T09:37:39.104696,-81
1876,404.0,128,0EA06D7AA587,2026-04-27T09:37:39.373083,-81
1877,404.0,128,0EA06D7AA587,2026-04-27T09:37:39.509320,-83
1878,404.0,128,0EA06D7AA587,2026-04-27T09:37:39.721526,-81
1879,405.0,128,0EA06D7AA587,2026-04-27T09:37:40.421072,-81
1880,405.0,128,0EA06D7AA587,2026-04-27T09:37:40.462647,-81
1881,405.0,128,0EA06D7AA587,2026-04-27T09:37:41.016688,-81
1882,406.0,128,0EA06D7AA587,2026-04-27T09:37:41.047055,-82
1883,406.0,128,0EA06D7AA587,2026-04-27T09:37:41.517456,-81
1884,406.0,128,0EA06D7AA587,2026-04-27T09:37:41.661521,-81
1885,406.0,128,0EA06D7AA587,2026-04-27T09:37:41.767302,-82
1886,407.0,128,0EA06D7AA587,2026-04-27T09:37:42.072584,-82
