pc_time,count,rssi,len,mac,esp_time
5677,1255.0,128,0EA06D7AA587,2026-04-27T09:51:50.949372,-82
5678,1256.0,128,0EA06D7AA587,2026-04-27T09:51:51.176748,-83
5679,1256.0,128,0EA06D7AA587,2026-04-27T09:51:51.485225,-83
5680,1256.0,128,0EA06D7AA587,2026-04-27T09:51:51.889643,-83
5681,1256.0,128,0EA06D7AA587,2026-04-27T09:51:52.045014,-83
5682,1257.0,128,0EA06D7AA587,2026-04-27T09:51:52.456698,-83
5683,1257.0,128,0EA06D7AA587,2026-04-27T09:51:52.509344,-81
5684,1257.0,128,0EA06D7AA587,2026-04-27T09:51:52.608190,-81
5685,1257.0,128,0EA06D7AA587,2026-04-27T09:51:52.940896,-82
5686,1257.0,128,0EA06D7AA587,2026-04-27T09:51:52.967624,-82
5687,1258.0,128,0EA06D7AA587,2026-04-27T09:51:53.228713,-82
5688,1258.0,128,0EA06D7AA587,2026-04-27T09:51:53.273021,-82
5689,1258.0,128,0EA06D7AA587,2026-04-27T09:51:53.508780,-81
5690,1258.0,128,0EA06D7AA587,2026-04-27T09:51:53.630392,-81
5691,1260.0,128,0EA06D7AA587,2026-04-27T09:51:55.601376,-82
5692,1260.0,128,0EA06D7AA587,2026-04-27T09:51:55.785051,-82
5693,1261.0,128,0EA06D7AA587,2026-04-27T09:51:56.052920,-81
5694,1261.0,128,0EA06D7AA587,2026-04-27T09:51:56.083230,-81
5695,1261.0,128,0EA06D7AA587,2026-04-27T09:51:56.202750,-80
5696,1261.0,128,0EA06D7AA587,2026-04-27T09:51:56.433130,-82
5697,1261.0,128,0EA06D7AA587,2026-04-27T09:51:56.909667,-80
5698,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.105285,-80
5699,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.135397,-81
5700,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.234766,-81
5701,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.440328,-80
5702,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.836832,-81
5703,1262.0,128,0EA06D7AA587,2026-04-27T09:51:57.929318,-81
5704,1263.0,128,0EA06D7AA587,2026-04-27T09:51:58.344583,-81
5705,1263.0,128,0EA06D7AA587,2026-04-27T09:51:58.441885,-81
5706,1263.0,128,0EA06D7AA587,2026-04-27T09:51:58.964805,-81
5707,1264.0,128,0EA06D7AA587,2026-04-27T09:51:59.233282,-81
5708,1264.0,128,0EA06D7AA587,2026-04-27T09:51:59.350178,-81
5709,1264.0,128,0EA06D7AA587,2026-04-27T09:51:59.457550,-81
5710,1264.0,128,0EA06D7AA587,2026-04-27T09:51:59.985743,-80
5711,1265.0,128,0EA06D7AA587,2026-04-27T09:52:00.301263,-81
5712,1265.0,128,0EA06D7AA587,2026-04-27T09:52:00.384483,-80
