pc_time,count,rssi,len,mac,esp_time
6214,1389.0,128,0EA06D7AA587,2026-04-27T09:54:04.806997,-86
6215,1389.0,128,0EA06D7AA587,2026-04-27T09:54:05.036717,-84
6216,1390.0,128,0EA06D7AA587,2026-04-27T09:54:05.162092,-86
6217,1390.0,128,0EA06D7AA587,2026-04-27T09:54:05.836575,-85
6218,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.077214,-84
6219,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.105791,-85
6220,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.139753,-84
6221,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.673105,-86
6222,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.856482,-85
6223,1391.0,128,0EA06D7AA587,2026-04-27T09:54:06.956979,-85
6224,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.261676,-85
6225,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.343212,-85
6226,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.474050,-84
6227,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.721356,-85
6228,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.787274,-83
6229,1392.0,128,0EA06D7AA587,2026-04-27T09:54:07.984549,-85
6230,1392.0,128,0EA06D7AA587,2026-04-27T09:54:08.013441,-85
6231,1393.0,128,0EA06D7AA587,2026-04-27T09:54:08.173774,-83
6232,1393.0,128,0EA06D7AA587,2026-04-27T09:54:08.203080,-83
6233,1393.0,128,0EA06D7AA587,2026-04-27T09:54:08.500496,-86
6234,1393.0,128,0EA06D7AA587,2026-04-27T09:54:08.769340,-84
6235,1393.0,128,0EA06D7AA587,2026-04-27T09:54:08.798035,-83
6236,1393.0,128,0EA06D7AA587,2026-04-27T09:54:09.041537,-82
6237,1394.0,128,0EA06D7AA587,2026-04-27T09:54:09.524700,-85
6238,1395.0,128,0EA06D7AA587,2026-04-27T09:54:10.277385,-85
6239,1395.0,128,0EA06D7AA587,2026-04-27T09:54:10.408842,-83
6240,1395.0,128,0EA06D7AA587,2026-04-27T09:54:10.546580,-83
6241,1395.0,128,0EA06D7AA587,2026-04-27T09:54:10.865898,-84
6242,1395.0,128,0EA06D7AA587,2026-04-27T09:54:10.947893,-83
6243,1396.0,128,0EA06D7AA587,2026-04-27T09:54:11.356292,-82
6244,1396.0,128,0EA06D7AA587,2026-04-27T09:54:11.452236,-83
6245,1396.0,128,0EA06D7AA587,2026-04-27T09:54:11.501289,-84
6246,1396.0,128,0EA06D7AA587,2026-04-27T09:54:11.916611,-84
6247,1396.0,128,0EA06D7AA587,2026-04-27T09:54:11.973867,-83
6248,1397.0,128,0EA06D7AA587,2026-04-27T09:54:12.185108,-84
6249,1397.0,128,0EA06D7AA587,2026-04-27T09:54:12.369564,-84
6250,1397.0,128,0EA06D7AA587,2026-04-27T09:54:12.693221,-82
6251,1398.0,128,0EA06D7AA587,2026-04-27T09:54:13.101662,-82
6252,1398.0,128,0EA06D7AA587,2026-04-27T09:54:13.202135,-83
6253,1398.0,128,0EA06D7AA587,2026-04-27T09:54:13.453793,-84
6254,1398.0,128,0EA06D7AA587,2026-04-27T09:54:13.548788,-82
6255,1398.0,128,0EA06D7AA587,2026-04-27T09:54:14.029233,-82
6256,1399.0,128,0EA06D7AA587,2026-04-27T09:54:14.120725,-84
6257,1399.0,128,0EA06D7AA587,2026-04-27T09:54:14.465626,-83
6258,1399.0,128,0EA06D7AA587,2026-04-27T09:54:14.494622,-83
6259,1399.0,128,0EA06D7AA587,2026-04-27T09:54:14.595707,-81
6260,1399.0,128,0EA06D7AA587,2026-04-27T09:54:14.643038,-84
6261,1400.0,128,0EA06D7AA587,2026-04-27T09:54:15.149668,-83
6262,1400.0,128,0EA06D7AA587,2026-04-27T09:54:15.356938,-84
6263,1400.0,128,0EA06D7AA587,2026-04-27T09:54:15.665705,-82
6264,1400.0,128,0EA06D7AA587,2026-04-27T09:54:15.773105,-83
6265,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.109227,-84
6266,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.384375,-84
6267,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.572856,-83
6268,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.698020,-81
6269,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.787116,-82
6270,1401.0,128,0EA06D7AA587,2026-04-27T09:54:16.904285,-82
6271,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.157698,-81
6272,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.404717,-84
6273,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.461580,-87
6274,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.749564,-85
6275,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.805587,-85
6276,1402.0,128,0EA06D7AA587,2026-04-27T09:54:17.919998,-82
6277,1403.0,128,0EA06D7AA587,2026-04-27T09:54:18.813626,-85
6278,1403.0,128,0EA06D7AA587,2026-04-27T09:54:18.938300,-85
6279,1404.0,128,0EA06D7AA587,2026-04-27T09:54:19.717200,-86
6280,1404.0,128,0EA06D7AA587,2026-04-27T09:54:19.965176,-86
6281,1405.0,128,0EA06D7AA587,2026-04-27T09:54:20.610053,-87
6282,1405.0,128,0EA06D7AA587,2026-04-27T09:54:20.757920,-86
6283,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.353078,-85
6284,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.393842,-84
6285,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.617356,-86
6286,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.808517,-82
6287,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.840130,-81
6288,1406.0,128,0EA06D7AA587,2026-04-27T09:54:21.872750,-81
6289,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.117881,-84
6290,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.170494,-82
6291,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.421681,-84
6292,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.624282,-83
6293,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.861264,-84
6294,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.904859,-84
6295,1407.0,128,0EA06D7AA587,2026-04-27T09:54:22.983322,-84
6296,1408.0,128,0EA06D7AA587,2026-04-27T09:54:23.138329,-88
6297,1408.0,128,0EA06D7AA587,2026-04-27T09:54:23.453807,-85
6298,1408.0,128,0EA06D7AA587,2026-04-27T09:54:23.649809,-83
6299,1408.0,128,0EA06D7AA587,2026-04-27T09:54:23.901634,-84
6300,1408.0,128,0EA06D7AA587,2026-04-27T09:54:23.931101,-84
6301,1411.0,128,0EA06D7AA587,2026-04-27T09:54:26.721278,-84
6302,1412.0,128,0EA06D7AA587,2026-04-27T09:54:27.080693,-85
6303,1412.0,128,0EA06D7AA587,2026-04-27T09:54:27.748928,-86
6304,1412.0,128,0EA06D7AA587,2026-04-27T09:54:27.845398,-85
6305,1413.0,128,0EA06D7AA587,2026-04-27T09:54:28.100150,-85
6306,1413.0,128,0EA06D7AA587,2026-04-27T09:54:28.130912,-85
